RHAMCAT-PWY	L-rhamnose degradation I	rhamnose catabolism	rhamnose degradation
MANNIDEG-PWY	mannitol degradation I	
GALACTITOLCAT-PWY	galactitol degradation	galactitol catabolism
SORBDEG-PWY	D-sorbitol degradation II	
PWY-8319	NiFe(CO)(CN)<sub>2</sub> cofactor biosynthesis	[NiFe]-hydrogenase cofactor biosynthesis
PWY0-1527	curcumin degradation	curcumin metabolism
PWY0-1569	autoinducer AI-2 degradation	(<i>S</i>)-4,5-dihydroxypentane-2,3-dione degradation	autoinducer 2 degradation	AI-2 degradation
PWY0-1545	cardiolipin biosynthesis III	
PWY-5668	cardiolipin biosynthesis I	
PWY-7222	guanosine deoxyribonucleotides <i>de novo</i> biosynthesis II	
ACETOACETATE-DEG-PWY	acetoacetate degradation (to acetyl CoA)	acetoacetic acid degradation (to acetyl CoA)
PWY0-1533	methylphosphonate degradation I	carbon-phosphorus lyase pathway
PWY-7805	(aminomethyl)phosphonate degradation	
PWY0-541	<i>cis</i>-cyclopropane fatty acid (CFA) biosynthesis	
FASYN-ELONG-PWY	fatty acid elongation -- saturated	
GLYCOLATEMET-PWY	glycolate and glyoxylate degradation I	glycolate utilization I	glycolate degradation I
GLYOXDEG-PWY	glycolate and glyoxylate degradation II	glyoxylate degradation
NONMEVIPP-PWY	methylerythritol phosphate pathway I	nonmevalonate isopentenyl diphosphate biosynthesis	methylerythritol phosphate degradation	MEP degradation	deoxyxylulose phosphate pathway	DOXP pathway	Rohmer pathway	isopentenyl diphosphate biosynthesis -- mevalonate-independent	nonmevalonate isoprenoid pathway	MEP pathway
PWY0-1264	biotin-carboxyl carrier protein assembly	BCCP assembly
SERDEG-PWY	L-serine degradation	
PWY0-1582	glycerol-3-phosphate to fumarate electron transfer	
PWY0-1577	hydrogen to dimethyl sulfoxide electron transfer	hydrogen to DMSO electron transfer
PWY0-1356	formate to dimethyl sulfoxide electron transfer	
PWY0-1348	NADH to dimethyl sulfoxide electron transfer	
CARNMET-PWY	L-carnitine degradation I	L-carnitine respiration
PWY0-1309	chitobiose degradation	
PWY0-1578	hydrogen to trimethylamine N-oxide electron transfer	
PWY0-1602	D-gulosides conversion to D-glucosides	
PWY0-1336	NADH to fumarate electron transfer	
PWY0-1585	formate to nitrite electron transfer	
PWY0-1576	hydrogen to fumarate electron transfer	
PWY0-1355	formate to trimethylamine <i>N</i>-oxide electron transfer	
PWY0-1546	muropeptide degradation	
PWY0-1347	NADH to trimethylamine <i>N</i>-oxide electron transfer	NADH to TMAO electron transfer
GLUTATHIONESYN-PWY	glutathione biosynthesis	
PWY-6611	adenine and adenosine salvage V	adenosine nucleosides salvage V
PWY-4121	glutathionylspermidine biosynthesis	
PWY-6605	adenine and adenosine salvage II	adenosine nucleosides salvage II
THIOREDOX-PWY	thioredoxin pathway	
PWY-6609	adenine and adenosine salvage III	adenosine nucleotides salvage III
GLUT-REDOX-PWY	glutathione-glutaredoxin redox reactions	
SALVPURINE2-PWY	xanthine and xanthosine salvage	
2PHENDEG-PWY	phenylethylamine degradation I	
PWY-5783	octaprenyl diphosphate biosynthesis	
PROUT-PWY-I	proline degradation	proline utilization
PWY-7219	adenosine ribonucleotides <i>de novo</i> biosynthesis	
PWY-7221	guanosine ribonucleotides <i>de novo</i> biosynthesis	
AST-PWY	L-arginine degradation II (AST pathway)	L-arginine succinyltransferase pathway	AST pathway	ammonia-producing L-arginine catabolic pathway	L-arginine catabolism
PWY0-823	L-arginine degradation III (arginine decarboxylase/agmatinase pathway)	
HEMESYN2-PWY	heme <i>b</i> biosynthesis II (oxygen-independent)	
HEME-BIOSYNTHESIS-II-1	heme <i>b</i> biosynthesis V (aerobic)	
PWY0-1352	nitrate reduction VIII (dissimilatory)	NADH to nitrate electron transfer
PWY0-1573	nitrate reduction VIIIb (dissimilatory)	NADH to nitrate reductase electron transfer
PWY0-1581	nitrate reduction IX (dissimilatory)	glycerol-3-phosphate to nitrate electron transfer
PWY0-1321	nitrate reduction III (dissimilatory)	formate to nitrate electron transfer
PWY0-1584	<i>sn</i>-glycerol 3-phosphate anaerobic respiration	periplasmic glycerol-3-phosphate to nitrate electron transfer	nitrate reduction X (dissimilatory, periplasmic)
PWY0-301	L-ascorbate degradation I (bacterial, anaerobic)	ascorbic acid degradation I
PWY-6961	L-ascorbate degradation II (bacterial, aerobic)	
PWY-5194	siroheme biosynthesis	
1CMET2-PWY	folate transformations III (<i>E. coli</i>)	<i>N</i><sup>10</sup>-formyl-THF biosynthesis	<i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis
PWY-6690	cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate	
HOMOSER-THRESYN-PWY	L-threonine biosynthesis	
HCAMHPDEG-PWY	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate	3-phenylpropionate and 3-(3-hydroxyphenyl)propionate degradation to 2-oxopent-4-enoate
PWY0-1586	peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)	
ASPARTATESYN-PWY	L-aspartate biosynthesis	L-aspartate biosynthesis and degradation
VALSYN-PWY	L-valine biosynthesis	
PWY0-1275	lipoate biosynthesis and incorporation II	
PWY0-501	lipoate biosynthesis and incorporation I	
PWY0-522	lipoate salvage I	
PWY-8351	sulfoquinovosyl diacylglycerides and sulfoquinovosyl glycerol degradation	
PWY-7971	adenosylcobinamide-GDP salvage from cobinamide I	
TRPSYN-PWY	L-tryptophan biosynthesis	
UDPNAGSYN-PWY	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis I	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis
GLUTSYN-PWY	L-glutamate biosynthesis I	
GLUTSYNIII-PWY	L-glutamate biosynthesis III	
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	
PWY-6387	UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)	
PWY-6708	ubiquinol-8 biosynthesis (early decarboxylation)	ubiquinone-8 biosynthesis (prokaryotic)	ubiquinol-8 biosynthesis (prokaryotic)
PWY0-1433	tetrahydromonapterin biosynthesis	
DAPLYSINESYN-PWY	L-lysine biosynthesis I	L-lysine and L-diaminopimelate biosynthesis
PWY0-1324	<i>N</i>-acetylneuraminate and <i>N</i>-acetylmannosamine degradation I	<i>N</i>-acetylneuraminate and <i>N</i>-acetylmannosamine degradation
PWY0-662	PRPP biosynthesis	5-phosphoribosyl 1-pyrophosphate biosynthesis
PWY0-1300	2-<I>O</I>-&alpha;-mannosyl-D-glycerate degradation	
PWY-7180	2-deoxy-&alpha;-D-ribose 1-phosphate degradation	
PWY-6890	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis I	HMP-PP biosynthesis
PWY-6894	thiamine diphosphate biosynthesis I (E. coli)	vitamin B<sub>1</sub> biosynthesis	thiamin diphosphate biosynthesis I (E. coli)
PWY-6282	palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	palmitoleic acid biosynthesis I	palmitoleate biosynthesis (anaerobic)
DARABCATK12-PWY	D-arabinose degradation II	D-arabinose catabolism
PYRIDOXSYN-PWY	pyridoxal 5'-phosphate biosynthesis I	vitamin B<sub>6</sub> biosynthesis	deoxyxylulose-dependent pyridoxal 5'-phosphate biosynthesis
PWY0-1391	<i>S</i>-methyl-5'-thioadenosine degradation IV	methylthioadenosine degradation IV
PLPSAL-PWY	pyridoxal 5'-phosphate salvage I	vitamin B<sub>6</sub> salvage I
PWY-5188	tetrapyrrole biosynthesis I (from glutamate)	
DTDPRHAMSYN-PWY	dTDP-&beta;-L-rhamnose biosynthesis	
PWY-7315	dTDP-<i>N</i>-acetylthomosamine biosynthesis	dTDP-4-acetamido-&alpha;-D-fucose biosynthesis	dTDP-4-acetamido-4,6-dideoxy-&alpha;-D-galactose biosynthesis
PWY-5785	di-<i>trans</i>,poly-<i>cis</i>-undecaprenyl phosphate biosynthesis	
PWY0-1507	biotin biosynthesis from 8-amino-7-oxononanoate I	biotin biosynthesis from 7-keto-8-aminopelargonate
PWY-5755	4-hydroxybenzoate biosynthesis II (bacteria)	<i>p</i>-hydroxybenzoate biosynthesis II
ARABCAT-PWY	L-arabinose degradation I	L-arabinose catabolism
PWY-5852	demethylmenaquinol-8 biosynthesis I	demethylmenaquinone-8 biosynthesis I
PWY-5437	L-threonine degradation I	
GLUCONEO-PWY	gluconeogenesis I	
HISTSYN-PWY	L-histidine biosynthesis	
GLUTAMINDEG-PWY	L-glutamine degradation I	
PYRIDNUCSAL-PWY	NAD salvage pathway I (PNC VI cycle)	pyridine nucleotide cycling	nicotinamide adenine dinucleotide salvage
PYRIDNUCSYN-PWY	NAD <i>de novo</i> biosynthesis I	nicotinamide adenine dinucleotide biosynthesis
PWY-7761	NAD salvage pathway II (PNC IV cycle)	
PWY3O-4106	NAD salvage pathway IV (from nicotinamide riboside)	nicotinamide riboside salvage pathway	nicotinamide adenine dinucleotide salvage
NADPHOS-DEPHOS-PWY	NAD phosphorylation and dephosphorylation	
GLNSYN-PWY	L-glutamine biosynthesis I	L-glutamine - L-glutamate pathway
PWY-7870	L-cysteine biosynthesis VII (from <i>S</i>-sulfo-L-cysteine)	
CYSTSYN-PWY	L-cysteine biosynthesis I	
PWY-6164	3-dehydroquinate biosynthesis I	
HOMOSER-METSYN-PWY	L-methionine biosynthesis I	L-methionine biosynthesis from L-homoserine	L-methionine biosynthesis by transsulfuration
PWY-6268	adenosylcobalamin salvage from cobalamin	vitamin B<sub>12</sub> biosynthesis
PWY0-1597	prenylated FMNH<sub>2</sub> biosynthesis	
